,Journal,Publisher,RelativeDelay,COI,PercentCollabAuthor,BinPercent,PastAuthorBin
72,Front_Pharmacol,frontiers,-33.519999999999996,True,0.5,3,4
73,Front_Pharmacol,frontiers,52.243416827231854,True,0.42857142857142855,3,3
74,Front_Pharmacol,frontiers,-46.53803418803419,True,0.2857142857142857,2,3
75,Front_Pharmacol,frontiers,-8.359550561797747,True,0.25,2,2
76,Front_Pharmacol,frontiers,10.639676113360323,True,0.2,1,3
77,Front_Pharmacol,frontiers,-58.756583172768146,True,0.09090909090909091,0,4
78,Front_Pharmacol,frontiers,6.175123762376245,True,0.25,2,2
79,Front_Pharmacol,frontiers,-27.756583172768146,True,0.1111111111111111,1,3
80,Front_Pharmacol,frontiers,-4.824876237623755,True,0.5714285714285714,4,3
81,Front_Pharmacol,frontiers,-22.359550561797747,True,0.42857142857142855,3,3
82,Front_Pharmacol,frontiers,126.24341682723185,True,0.3333333333333333,3,4
83,Front_Pharmacol,frontiers,-10.538034188034189,True,0.11764705882352941,1,2
84,Front_Pharmacol,frontiers,55.46196581196581,True,0.11764705882352941,1,1
85,Front_Pharmacol,frontiers,-12.900532859680283,True,0.3333333333333333,3,2
86,Front_Pharmacol,frontiers,-46.90053285968028,True,0.16666666666666666,1,2
87,Front_Pharmacol,frontiers,131.4619658119658,True,0.25,2,2
88,Front_Pharmacol,frontiers,19.099467140319717,True,0.14285714285714285,1,2
89,Front_Pharmacol,frontiers,-21.53803418803419,True,0.1,0,3
90,Front_Pharmacol,frontiers,-49.53803418803419,True,0.3,2,2
91,Front_Pharmacol,frontiers,35.015214384508994,True,0.4,3,4
92,Front_Pharmacol,frontiers,-41.756583172768146,True,0.125,1,2
93,Front_Pharmacol,frontiers,33.243416827231854,True,0.3076923076923077,3,4
94,Front_Pharmacol,frontiers,-73.75658317276815,True,0.4,3,4
95,Front_Pharmacol,frontiers,-37.756583172768146,True,0.09090909090909091,0,2
96,Front_Pharmacol,frontiers,-2.7565831727681456,True,0.1111111111111111,1,2
97,Front_Pharmacol,frontiers,-72.07967479674797,True,0.09090909090909091,0,2
98,Front_Pharmacol,frontiers,-1.5380341880341888,True,0.5,3,2
99,Front_Pharmacol,frontiers,22.175123762376245,True,0.09090909090909091,0,1
100,Front_Pharmacol,frontiers,-46.824876237623755,True,0.3333333333333333,3,2
101,Front_Pharmacol,frontiers,-38.650000000000006,True,1.0,4,4
102,Front_Pharmacol,frontiers,18.46196581196581,True,0.06666666666666667,0,2
103,Front_Pharmacol,frontiers,-57.53803418803419,True,0.125,1,2
104,Front_Pharmacol,frontiers,42.243416827231854,True,0.16666666666666666,1,3
105,Front_Pharmacol,frontiers,-15.360323886639677,True,1.0,4,3
106,Front_Pharmacol,frontiers,40.015214384508994,True,0.08333333333333333,0,3
107,Front_Pharmacol,frontiers,-23.984785615491006,True,0.25,2,3
108,Front_Pharmacol,frontiers,19.639676113360323,True,0.3333333333333333,3,3
109,Front_Pharmacol,frontiers,-12.519999999999996,True,0.5,3,4
110,Front_Pharmacol,frontiers,1.0152143845089938,True,0.4,3,3
111,Front_Pharmacol,frontiers,-62.35955056179775,True,0.3333333333333333,3,4
112,Front_Pharmacol,frontiers,15.243416827231854,True,0.3333333333333333,3,3
113,Front_Pharmacol,frontiers,-17.359550561797747,True,0.3333333333333333,3,3
114,Front_Pharmacol,frontiers,-48.35955056179775,True,0.16666666666666666,1,4
115,Front_Pharmacol,frontiers,-24.984785615491006,True,0.3333333333333333,3,3
116,Front_Pharmacol,frontiers,-62.53803418803419,True,0.4,3,2
117,Front_Pharmacol,frontiers,-40.756583172768146,True,0.1,0,0
118,Front_Pharmacol,frontiers,-5.650000000000006,True,0.1111111111111111,1,3
119,Front_Pharmacol,frontiers,-37.2457627118644,True,0.3333333333333333,3,4
120,Front_Pharmacol,frontiers,-68.82487623762376,True,0.3333333333333333,3,3
121,Front_Pharmacol,frontiers,-55.35955056179775,True,0.3333333333333333,3,3
122,Front_Pharmacol,frontiers,-27.900532859680283,True,0.25,2,3
123,Front_Pharmacol,frontiers,31.015214384508994,True,0.2,1,2
124,Front_Pharmacol,frontiers,2.0994671403197174,True,0.5,3,3
125,Front_Pharmacol,frontiers,-4.538034188034189,True,0.125,1,3
126,Front_Pharmacol,frontiers,-26.360323886639677,True,0.5,3,3
127,Front_Pharmacol,frontiers,119.17512376237624,True,0.1,0,3
128,Front_Pharmacol,frontiers,-31.079674796747966,True,0.14285714285714285,1,2
129,Front_Pharmacol,frontiers,-48.90053285968028,True,0.2857142857142857,2,3
130,Front_Pharmacol,frontiers,57.480000000000004,True,0.3333333333333333,3,3
131,Front_Pharmacol,frontiers,-42.53803418803419,True,0.5,3,3
132,Front_Pharmacol,frontiers,-29.53803418803419,True,0.125,1,3
133,Front_Pharmacol,frontiers,109.63967611336032,True,0.5,3,2
134,Front_Pharmacol,frontiers,-25.360323886639677,True,1.0,4,3
135,Front_Pharmacol,frontiers,-26.984785615491006,True,0.6,4,3
136,Front_Pharmacol,frontiers,-45.824876237623755,True,0.09090909090909091,0,2
137,Front_Pharmacol,frontiers,-11.756583172768146,True,0.16666666666666666,1,2
138,Front_Pharmacol,frontiers,11.099467140319717,True,0.5,3,3
139,Front_Pharmacol,frontiers,-58.824876237623755,True,0.75,4,3
140,Front_Pharmacol,frontiers,-13.984785615491006,True,0.1,0,1
141,Front_Pharmacol,frontiers,57.920325203252034,True,0.125,1,3
142,Front_Pharmacol,frontiers,8.099467140319717,True,0.25,2,3
143,Front_Pharmacol,frontiers,36.64044943820225,True,1.0,4,3
144,Front_Pharmacol,frontiers,-93.82487623762376,True,0.5,3,3
145,Front_Pharmacol,frontiers,-45.90053285968028,True,0.3333333333333333,3,3
146,Front_Pharmacol,frontiers,-34.36032388663968,True,0.16666666666666666,1,3
147,Front_Pharmacol,frontiers,-34.079674796747966,True,0.14285714285714285,1,2
148,Front_Pharmacol,frontiers,-53.650000000000006,True,0.08333333333333333,0,1
149,Front_Pharmacol,frontiers,20.46196581196581,True,0.3333333333333333,3,2
150,Front_Pharmacol,frontiers,5.099467140319717,True,0.16666666666666666,1,3
151,Front_Pharmacol,frontiers,-15.360323886639677,True,0.5,3,4
152,Front_Pharmacol,frontiers,-0.7565831727681456,True,0.3333333333333333,3,3
153,Front_Chem,frontiers,45.12280701754386,True,0.5,3,2
154,Front_Chem,frontiers,-5.1803278688524586,True,0.14285714285714285,1,3
155,Front_Chem,frontiers,-22.19095022624434,True,0.3333333333333333,3,3
