Actual,COI,SimRep,Similarity,Diff
False,False,1.0,0.9984670831635574,0.0015329168364426327
False,False,0.9979600666413416,0.9464854734711718,0.05147459317016978
False,False,0.995843402560218,0.9203276717049744,0.07551573085524355
False,False,0.995411602735936,0.7831528445109227,0.21225875822501328
False,False,0.99510238894759,0.9825172504642428,0.012585138483347191
False,False,0.9948570536866032,0.9915687811824652,0.00328827250413799
False,False,0.994757703702085,0.9496864470582506,0.04507125664383449
False,False,0.9946835705823754,0.9911954360129356,0.0034881345694398602
False,False,0.9945768032590993,0.9743432274588048,0.0202335758002945
False,False,0.9945526594165548,0.9959816334444404,-0.0014289740278855545
False,False,0.9944125318173026,0.9695677433190808,0.024844788498221804
False,False,0.9943433629691883,0.9692894021176656,0.025053960851522783
False,False,0.994324281068463,0.8103278330950019,0.18399644797346115
False,False,0.9942779400027218,0.9767385913026576,0.01753934870006424
False,False,0.9942136461035124,0.952878534850111,0.04133511125340139
False,False,0.9941784057664712,0.9666312650329124,0.027547140733558795
False,False,0.9940985699333994,0.9725999784310396,0.021498591502359776
False,False,0.9939984103399836,0.991989044321314,0.002009366018669634
False,False,0.9939349461105892,0.981936740007746,0.01199820610284319
False,False,0.993670754565994,0.9842076363888984,0.009463118177095553
False,False,0.9936263582946876,0.9708114969710098,0.022814861323677826
False,False,0.9935647007999998,0.9428384494871414,0.05072625131285846
False,False,0.9933721731889454,0.976200739374627,0.017171433814318404
False,False,0.9933657820105768,0.9954275378462614,-0.0020617558356845755
False,False,0.9933472686739891,0.9444824673062522,0.048864801367736965
False,False,0.9933289565860808,0.7635185598245281,0.22981039676155268
False,False,0.9932750835961208,0.9835946296365689,0.009680453959551971
False,False,0.993165413029514,0.9912176811223634,0.001947731907150585
False,False,0.9930784347593749,0.9940937597161836,-0.001015324956808783
False,False,0.9930398011946018,0.9948647861932474,-0.0018249849986455846
False,False,0.9929809550364284,0.9552240370447428,0.03775691799168557
False,False,0.992973044574003,0.9804693576261312,0.01250368694787185
False,False,0.9929697951561328,0.9128783294654668,0.08009146569066605
False,False,0.992964148613194,0.9375302609415992,0.05543388767159485
False,False,0.9927301183407112,0.984715659909659,0.008014458431052196
False,False,0.992673150739298,0.9257979635428252,0.06687518719647279
False,False,0.9926485732223552,0.9384594206178224,0.05418915260453283
False,False,0.9924034288222532,0.8039167765185279,0.1884866523037253
False,False,0.992400277812634,0.8124021187743868,0.17999815903824712
False,False,0.9922385503637438,0.9805751577052276,0.011663392658516125
False,False,0.9922335795063004,0.9698951680673928,0.02233841143890758
False,False,0.9921740149691192,0.868077750607483,0.12409626436163612
False,False,0.992045261912801,0.972492412124252,0.019552849788548987
False,False,0.992039645642272,0.9541235648413374,0.03791608080093456
False,False,0.9920333337022952,0.9715699039210844,0.02046342978121074
False,False,0.991962674636409,0.9286219612121156,0.06334071342429337
False,False,0.9919305830420482,0.9873256277215068,0.004604955320541393
False,False,0.9918874918659472,0.931342287062202,0.060545204803745145
False,False,0.9918496904346084,0.9688385976022218,0.02301109283238656
False,False,0.9918437928976666,0.8883492814196752,0.10349451147799138
False,False,0.9918334065718232,0.9895410667458712,0.0022923398259520056
False,False,0.9918236162597748,0.9860536966939312,0.0057699195658436064
False,False,0.9918039154899194,0.9330864879007932,0.058717427589126236
False,False,0.9918032633598048,0.9952906000048768,-0.003487336645071948
False,False,0.9917071226971936,0.9470948243700004,0.04461229832719327
False,False,0.9916576275419896,0.978675865344628,0.01298176219736158
False,False,0.9916058837790076,0.9173133976599346,0.07429248611907302
False,False,0.991594358550631,0.943184887333154,0.048409471217477074
False,False,0.9915225955987884,0.9787563036510392,0.012766291947749253
False,False,0.9915223574804022,0.9732731230574918,0.018249234422910376
False,False,0.99151658640608,0.97854804092865,0.012968545477429982
False,False,0.991501155594975,0.958673778659636,0.03282737693533899
False,False,0.9914075157561616,0.7558648053012414,0.23554271045492015
False,False,0.991391707196336,0.9478956758275456,0.04349603136879032
False,False,0.9913853675520644,0.986478283601672,0.00490708395039241
False,False,0.9912954047950358,0.9920052003210116,-0.0007097955259758315
False,False,0.9912593672521848,0.9779426276604658,0.013316739591718973
False,False,0.9912545012670484,0.9268212928527122,0.0644332084143362
False,False,0.9911612376917358,0.99430874152211,-0.0031475038303742098
False,False,0.9911332525330516,0.9764044177143762,0.014728834818675374
False,False,0.9911193683742264,0.9367286115680948,0.05439075680613159
False,False,0.9910926982799818,0.9434584472639276,0.04763425101605423
False,False,0.9910061937604804,0.9157385711038558,0.07526762265662457
False,False,0.9909975010528164,0.9587652592748966,0.03223224177791972
False,False,0.9909729676574274,0.9877583604828688,0.0032146071745585703
False,False,0.9908332589854976,0.9473409820248186,0.04349227696067892
False,False,0.9908319886109046,0.9627152570825918,0.028116731528312844
False,False,0.990816843450948,0.9520894404685564,0.038727402982391634
False,False,0.9907224821734278,0.8652935547899995,0.12542892738342837
False,False,0.9907024126620014,0.9634726319921894,0.027229780669812076
False,False,0.9906800690934972,0.9956020115850156,-0.0049219424915184495
False,False,0.9906653656652136,0.9793869643877722,0.011278401277441397
False,False,0.9905995659465532,0.9661955690962628,0.024403996850290377
False,False,0.9905922623989484,0.9287573621597638,0.06183490023918459
False,False,0.9905443860849652,0.9808924249683256,0.009651961116639574
False,False,0.9905079635603542,0.9911430058095292,-0.0006350422491749885
False,False,0.9904112867223824,0.923759532133182,0.06665175458920047
False,False,0.9903980559242636,0.462811494761147,0.5275865611631165
False,False,0.990390776412931,0.8804131482671168,0.10997762814581424
False,False,0.9903883878848088,0.8340343961930158,0.15635399169179298
